,names,name images
197,Pradeep Sangwan,https://scores.iplt20.com/ipl/playerimages/Pradeep%20Sangwan.png
198,Alzarri Joseph,https://scores.iplt20.com/ipl/playerimages/Alzarri%20Joseph.png
199,Karun Nair,https://scores.iplt20.com/ipl/playerimages/Karun%20Nair.png
200,Daryl Mitchell,https://scores.iplt20.com/ipl/playerimages/Daryl%20Mitchell.png
201,Abhinav Manohar,https://scores.iplt20.com/ipl/playerimages/Abhinav%20Manohar.png
202,Suyash Prabhudessai,https://scores.iplt20.com/ipl/playerimages/Suyash%20Prabhudessai.png
203,Yash Dayal,https://scores.iplt20.com/ipl/playerimages/Yash%20Dayal.png
204,Vaibhav Arora,https://scores.iplt20.com/ipl/playerimages/Vaibhav%20Arora.png
205,Odean Smith,https://scores.iplt20.com/ipl/playerimages/Odean%20Smith.png
206,Tymal Mills,https://scores.iplt20.com/ipl/playerimages/Tymal%20Mills.png
207,Aman Hakim Khan,https://scores.iplt20.com/ipl/playerimages/Aman%20Hakim%20Khan.png
208,Kuldeep Sen,https://scores.iplt20.com/ipl/playerimages/Kuldeep%20Sen.png
209,Akash Deep,https://scores.iplt20.com/ipl/playerimages/Akash%20Deep.png
210,Krishnappa Gowtham,https://scores.iplt20.com/ipl/playerimages/Krishnappa%20Gowtham.png
211,Rasikh Salam,https://scores.iplt20.com/ipl/playerimages/Rasikh%20Salam.png
212,David Willey,https://scores.iplt20.com/ipl/playerimages/David%20Willey.png
213,Sherfane Rutherford,https://scores.iplt20.com/ipl/playerimages/Sherfane%20Rutherford.png
214,Raj Bawa,https://scores.iplt20.com/ipl/playerimages/Raj%20Bawa.png
215,Nehal Wadhera,https://scores.iplt20.com/ipl/playerimages/Nehal%20Wadhera.png
216,Cameron Green,https://scores.iplt20.com/ipl/playerimages/Cameron%20Green.png
217,Vishnu Vinod,https://scores.iplt20.com/ipl/playerimages/Vishnu%20Vinod.png
218,Jason Behrendorff,https://scores.iplt20.com/ipl/playerimages/Jason%20Behrendorff.png
219,Kyle Mayers,https://scores.iplt20.com/ipl/playerimages/Kyle%20Mayers.png
220,Naveen-ul-Haq,https://scores.iplt20.com/ipl/playerimages/Naveen-ul-Haq.png
221,Dasun Shanaka,https://scores.iplt20.com/ipl/playerimages/Dasun%20Shanaka.png
222,Darshan Nalkande,https://scores.iplt20.com/ipl/playerimages/Darshan%20Nalkande.png
223,Noor Ahmad,https://scores.iplt20.com/ipl/playerimages/Noor%20Ahmad.png
224,Michael Bracewell,https://scores.iplt20.com/ipl/playerimages/Michael%20Bracewell.png
225,Vivrant Sharma,https://scores.iplt20.com/ipl/playerimages/Vivrant%20Sharma.png
226,Heinrich Klaasen,https://scores.iplt20.com/ipl/playerimages/Heinrich%20Klaasen.png
227,Harry Brook,https://scores.iplt20.com/ipl/playerimages/Harry%20Brook.png
228,Sanvir Singh,https://scores.iplt20.com/ipl/playerimages/Sanvir%20Singh.png
229,Rahmanullah Gurbaz,https://scores.iplt20.com/ipl/playerimages/Rahmanullah%20Gurbaz.png
230,Phil Salt,https://scores.iplt20.com/ipl/playerimages/Phil%20Salt.png
231,Rilee Rossouw,https://scores.iplt20.com/ipl/playerimages/Rilee%20Rossouw.png
232,Yash Dhull,https://scores.iplt20.com/ipl/playerimages/Yash%20Dhull.png
233,Atharva Taide,https://scores.iplt20.com/ipl/playerimages/Atharva%20Taide.png
234,Dhruv Jurel,https://scores.iplt20.com/ipl/playerimages/Dhruv%20Jurel.png
235,Mohit Sharma,https://scores.iplt20.com/ipl/playerimages/Mohit%20Sharma.png
236,Mayank Markande,https://scores.iplt20.com/ipl/playerimages/Mayank%20Markande.png
237,Joe Root,https://scores.iplt20.com/ipl/playerimages/Joe%20Root.png
238,Adam Zampa,https://scores.iplt20.com/ipl/playerimages/Adam%20Zampa.png
239,KMAsif,https://scores.iplt20.com/ipl/playerimages/KMAsif.png
240,Sikandar Raza,https://scores.iplt20.com/ipl/playerimages/Sikandar%20Raza.png
241,Praveen Dubey,https://scores.iplt20.com/ipl/playerimages/Praveen%20Dubey.png
242,Mukesh Kumar,https://scores.iplt20.com/ipl/playerimages/Mukesh%20Kumar.png
243,Tushar Deshpande,https://scores.iplt20.com/ipl/playerimages/Tushar%20Deshpande.png
244,Swapnil Singh,https://scores.iplt20.com/ipl/playerimages/Swapnil%20Singh.png
245,Arshad Khan,https://scores.iplt20.com/ipl/playerimages/Arshad%20Khan.png
246,Jofra Archer,https://scores.iplt20.com/ipl/playerimages/Jofra%20Archer.png
247,Matthew Short,https://scores.iplt20.com/ipl/playerimages/Matthew%20Short.png
248,Karn Sharma,https://scores.iplt20.com/ipl/playerimages/Karn%20Sharma.png
249,Amit Mishra,https://scores.iplt20.com/ipl/playerimages/Amit%20Mishra.png
250,Akeal Hosein,https://scores.iplt20.com/ipl/playerimages/Akeal%20Hosein.png
251,David Wiese,https://scores.iplt20.com/ipl/playerimages/David%20Wiese.png
252,Vijaykumar Vyshak,https://scores.iplt20.com/ipl/playerimages/Vijaykumar%20Vyshak.png
