District,Month,Visitors,,,,,,,,,,,
Nizamabad,September,12580,,,,,,,,,,,
Nizamabad,October,13600,,,,,,,,,,,
Nizamabad,November,19090,,,,,,,,,,,
Nizamabad,December,10120,,,,,,,,,,,
Peddapalli,January,1150,,,,,,,,,,,
Peddapalli,February,1245,,,,,,,,,,,
Peddapalli,March,2610,,,,,,,,,,,
Peddapalli,April,3405,,,,,,,,,,,
Peddapalli,May,355,,,,,,,,,,,
Peddapalli,June,420,,,,,,,,,,,
Peddapalli,July,550,,,,,,,,,,,
Peddapalli,August,779,,,,,,,,,,,
Peddapalli,September,660,,,,,,,,,,,
Peddapalli,October,650,,,,,,,,,,,
Peddapalli,November,1630,,,,,,,,,,,
Peddapalli,December,1840,,,,,,,,,,,
RajanuaSircilla,January,656423,,,,,,,,,,,
RajanuaSircilla,February,571526,,,,,,,,,,,
RajanuaSircilla,March,868764,,,,,,,,,,,
RajanuaSircilla,April,198252,,,,,,,,,,,
RajanuaSircilla,May,23978,,,,,,,,,,,
RajanuaSircilla,June,125913,,,,,,,,,,,
RajanuaSircilla,July,290935,,,,,,,,,,,
RajanuaSircilla,August,518772,,,,,,,,,,,
RajanuaSircilla,September,388599,,,,,,,,,,,
RajanuaSircilla,October,355757,,,,,,,,,,,
RajanuaSircilla,November,567535,,,,,,,,,,,
RajanuaSircilla,December,606628,,,,,,,,,,,
Sangareddy,January,112500,,,,,,,,,,,
Sangareddy,February,103200,,,,,,,,,,,
Sangareddy,March,274500,,,,,,,,,,,
Sangareddy,April,117300,,,,,,,,,,,
Sangareddy,May,15000,,,,,,,,,,,
Sangareddy,June,26500,,,,,,,,,,,
Sangareddy,July,33000,,,,,,,,,,,
Sangareddy,August,64900,,,,,,,,,,,
Sangareddy,September,47700,,,,,,,,,,,
Sangareddy,October,50000,,,,,,,,,,,
Sangareddy,November,56150,,,,,,,,,,,
Sangareddy,December,38750,,,,,,,,,,,
Siddipet,January,173749,,,,,,,,,,,
Siddipet,February,107247,,,,,,,,,,,
Siddipet,March,70337,,,,,,,,,,,
Siddipet,April,61534,,,,,,,,,,,
Siddipet,May,9000,,,,,,,,,,,
Siddipet,June,37700,,,,,,,,,,,
Siddipet,July,37000,,,,,,,,,,,
Siddipet,August,70000,,,,,,,,,,,
Siddipet,September,59000,,,,,,,,,,,
Siddipet,October,90000,,,,,,,,,,,
Siddipet,November,93500,,,,,,,,,,,
Siddipet,December,90350,,,,,,,,,,,
Wanaparthy,January,22482,,,,,,,,,,,
Wanaparthy,February,22524,,,,,,,,,,,
Wanaparthy,March,19672,,,,,,,,,,,
Wanaparthy,April,25212,,,,,,,,,,,
Wanaparthy,May,295,,,,,,,,,,,
Wanaparthy,June,600,,,,,,,,,,,
Wanaparthy,July,29300,,,,,,,,,,,
Wanaparthy,August,33300,,,,,,,,,,,
Wanaparthy,September,22800,,,,,,,,,,,
Wanaparthy,October,23700,,,,,,,,,,,
Wanaparthy,November,29330,,,,,,,,,,,
Wanaparthy,December,28100,,,,,,,,,,,
Warangal,January,7450,,,,,,,,,,,
Warangal,February,7470,,,,,,,,,,,
Warangal,March,7500,,,,,,,,,,,
Warangal,April,7510,,,,,,,,,,,
Warangal,May,560,,,,,,,,,,,
Warangal,June,550,,,,,,,,,,,
Warangal,July,3400,,,,,,,,,,,
Warangal,August,5610,,,,,,,,,,,
Warangal,September,5610,,,,,,,,,,,
Warangal,October,5820,,,,,,,,,,,
Warangal,November,6230,,,,,,,,,,,
Warangal,December,5690,,,,,,,,,,,
Yadadri Bhongir,January,281131,,,,,,,,,,,
